序号,字段名,数据类型,字段含义
1,sessionId,int64,充电会话唯一ID
2,kwhTotal,float64,本次充电总电量（单位：千瓦时）
3,charging_fees,float64,本次充电总费用（单位：元）
4,created,object,订单创建时间
5,ended,object,充电结束时间
6,startTime,int64,充电开始时间（小时）
7,endTime,int64,充电结束时间（小时）
8,chargeTimeHrs,float64,充电总时长（单位：小时）
9,weekday,object,充电所在星期
10,platform,object,充电所用平台（android/ios）
11,userId,int64,用户唯一ID
12,stationId,int64,充电站唯一ID
13,locationId,int64,充电站位置ID
14,managerVehicle,int64,是否为管理车辆（0/1）
15,facilityType,int64,设施类型编码
16,Mon,int64,是否为周一充电（0/1）
17,Tues,int64,是否为周二充电（0/1）
18,Wed,int64,是否为周三充电（0/1）
19,Thurs,int64,是否为周四充电（0/1）
20,Fri,int64,是否为周五充电（0/1）
21,Sat,int64,是否为周六充电（0/1）
22,Sun,int64,是否为周日充电（0/1）
