esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah),source
100000000,2.02E+13,15.2,323.5,-22.5,3.603,3.584,32,31,6.96,20.94,real
100000001,2.02E+13,15.6,323.6,-22.5,3.604,3.585,32,31,6.98,20.99,real
100000002,2.02E+13,15.6,323.6,-22.5,3.605,3.585,32,31,7,21.04,real
100000003,2.02E+13,15.6,323.8,-22.5,3.606,3.586,32,31,7.01,21.09,real
100000004,2.02E+13,15.6,323.8,-22.5,3.606,3.587,32,31,7.03,21.14,real
100000005,2.02E+13,15.6,323.8,-22.5,3.607,3.588,32,31,7.05,21.18,real
100000006,2.02E+13,15.6,323.9,-22.5,3.608,3.588,32,31,7.06,21.23,real
100000007,2.02E+13,15.6,323.9,-22.5,3.608,3.588,32,31,7.07,21.28,real
100000008,2.02E+13,15.6,323.9,-22.5,3.608,3.589,32,31,7.1,21.33,real
100000009,2.02E+13,15.6,323.9,-22.5,3.609,3.59,32,31,7.11,21.39,real
100000010,2.02E+13,15.6,324.1,-22.5,3.609,3.59,32,31,7.13,21.45,real
100000011,2.02E+13,15.6,324.1,-22.5,3.61,3.59,32,31,7.15,21.5,real
100000012,2.02E+13,16,324.1,-22.5,3.61,3.591,32,31,7.17,21.55,real
100000013,2.02E+13,16,324.1,-22.5,3.61,3.591,32,31,7.18,21.6,real
100000014,2.02E+13,16,324.2,-22.5,3.611,3.592,33,31,7.2,21.65,real
100000015,2.02E+13,16,324.2,-22.5,3.611,3.591,33,31,7.22,21.7,real
100000016,2.02E+13,16,324.2,-22.5,3.611,3.592,33,31,7.23,21.75,real
100000017,2.02E+13,16,324.2,-22.5,3.612,3.592,33,31,7.25,21.8,real
100000018,2.02E+13,16,324.2,-22.5,3.612,3.593,33,31,7.27,21.85,real
100000019,2.02E+13,16,324.2,-22.5,3.612,3.594,33,31,7.28,21.9,real
100000020,2.02E+13,16,324.4,-22.5,3.613,3.594,33,31,7.3,21.95,real
100000021,2.02E+13,16,324.4,-22.5,3.612,3.594,33,31,7.32,22.02,real
100000022,2.02E+13,16.4,324.4,-22.5,3.613,3.594,33,31,7.34,22.07,real
100000023,2.02E+13,16.4,324.4,-22.5,3.613,3.595,33,31,7.36,22.12,real
100000024,2.02E+13,16.4,324.4,-22.5,3.615,3.595,33,31,7.37,22.17,real
