esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (¡æ),min_temperature (¡æ),available_energy (kw),available_capacity (Ah)
1366563,2014/11/18 15:40,15.2,323.5,-22.5,3.603,3.584,32,31,6.96,20.94
3075723,2014/11/19 17:40,15.6,323.6,-22.5,3.604,3.585,32,31,6.98,20.99
4228788,2014/11/21 12:05,15.6,323.6,-22.5,3.605,3.585,32,31,7,21.04
3173284,2014/12/3 19:16,15.6,323.8,-22.5,3.606,3.586,32,31,7.01,21.09
3266500,2014/12/11 20:56,15.6,323.8,-22.5,3.606,3.587,32,31,7.03,21.14
4099366,2014/12/12 14:38,15.6,323.8,-22.5,3.607,3.588,32,31,7.05,21.18
5084244,2014/12/12 15:08,15.6,323.9,-22.5,3.608,3.588,32,31,7.06,21.23
2948436,2014/12/17 20:30,15.6,323.9,-22.5,3.608,3.588,32,31,7.07,21.28
3515913,2014/12/18 17:53,15.6,323.9,-22.5,3.608,3.589,32,31,7.1,21.33
8490014,2014/12/18 18:06,15.6,323.9,-22.5,3.609,3.59,32,31,7.11,21.39
7075912,2014/12/18 18:31,15.6,324.1,-22.5,3.609,3.59,32,31,7.13,21.45
5226095,2014/12/19 14:30,15.6,324.1,-22.5,3.61,3.59,32,31,7.15,21.5
9342496,2015/1/7 17:52,16,324.1,-22.5,3.61,3.591,32,31,7.17,21.55
1853945,2015/1/9 13:59,16,324.1,-22.5,3.61,3.591,32,31,7.18,21.6
2113485,2015/1/12 17:39,16,324.2,-22.5,3.611,3.592,33,31,7.2,21.65
7492587,2015/1/16 17:23,16,324.2,-22.5,3.611,3.591,33,31,7.22,21.7
1111437,2015/1/16 19:04,16,324.2,-22.5,3.611,3.592,33,31,7.23,21.75
4716378,2015/1/21 18:01,16,324.2,-22.5,3.612,3.592,33,31,7.25,21.8
4187340,2015/1/29 16:34,16,324.2,-22.5,3.612,3.593,33,31,7.27,21.85
7934936,2015/1/30 18:47,16,324.2,-22.5,3.612,3.594,33,31,7.28,21.9
